epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
105,0.000094,0.000012,0.008257,0.309515,0.273882,3.563287,0.5024,0.4709,0.4861,0.6938,0.6502,0.6713,0.7416,0.6951,0.7176,223,209,0.4907,0.2,0.0,0.000222
106,0.000166,0.000027,0.013884,0.298836,0.262021,3.681471,0.5047,0.4843,0.4943,0.6729,0.6457,0.6590,0.7570,0.7265,0.7414,223,214,0.4943,0.2,0.0,0.000221
107,0.000434,0.000125,0.030947,0.304687,0.268800,3.588670,0.4567,0.4260,0.4408,0.6298,0.5874,0.6079,0.7308,0.6816,0.7053,223,208,0.4943,0.2,0.0,0.000219
108,0.020702,0.015227,0.547515,0.109964,0.065442,4.452234,0.1276,0.2242,0.1626,0.2143,0.3767,0.2732,0.3061,0.5381,0.3902,223,392,0.4943,0.2,0.0,0.000218
109,0.051670,0.029415,2.225448,0.074360,0.049353,2.500695,0.4009,0.3901,0.3955,0.6313,0.6143,0.6227,0.7650,0.7444,0.7545,223,217,0.4943,0.2,0.0,0.000217
110,0.012959,0.007999,0.495946,0.081628,0.055021,2.660731,0.1633,0.1435,0.1527,0.2908,0.2556,0.2721,0.4643,0.4081,0.4344,223,196,0.4943,0.2,0.0,0.000215
111,0.007442,0.004294,0.314842,0.103011,0.072897,3.011475,0.2525,0.2287,0.2400,0.4109,0.3722,0.3906,0.5594,0.5067,0.5318,223,202,0.4943,0.2,0.0,0.000214
112,0.003648,0.002148,0.150000,0.119080,0.085381,3.369934,0.3803,0.3632,0.3716,0.5587,0.5336,0.5459,0.7042,0.6726,0.6881,223,213,0.4943,0.2,0.0,0.000213
113,0.002386,0.001375,0.101160,0.125060,0.091503,3.355735,0.3857,0.3632,0.3741,0.5952,0.5605,0.5774,0.7333,0.6906,0.7113,223,210,0.4943,0.2,0.0,0.000211
114,0.001798,0.000970,0.082826,0.143014,0.109611,3.340268,0.3971,0.3722,0.3843,0.5550,0.5202,0.5370,0.7321,0.6861,0.7083,223,209,0.4943,0.3,0.0,0.000210
115,0.001210,0.000619,0.059110,0.160253,0.126487,3.376654,0.4300,0.3857,0.4066,0.6300,0.5650,0.5957,0.7550,0.6771,0.7139,223,200,0.4943,0.2,0.0,0.000208
116,0.000871,0.000439,0.043202,0.170239,0.135933,3.430659,0.4412,0.4036,0.4215,0.6275,0.5740,0.5995,0.7696,0.7040,0.7354,223,204,0.4943,0.3,0.0,0.000207
117,0.000633,0.000285,0.034723,0.177109,0.141876,3.523361,0.4417,0.4081,0.4242,0.6456,0.5964,0.6200,0.7621,0.7040,0.7319,223,206,0.4943,0.2,0.0,0.000206
118,0.000507,0.000212,0.029430,0.189272,0.152895,3.637701,0.4369,0.4036,0.4196,0.6408,0.5919,0.6154,0.7670,0.7085,0.7366,223,206,0.4943,0.2,0.0,0.000204
119,0.000414,0.000171,0.024281,0.193062,0.157152,3.591014,0.4502,0.4260,0.4378,0.6303,0.5964,0.6129,0.7488,0.7085,0.7281,223,211,0.4943,0.2,0.0,0.000203
120,0.000375,0.000141,0.023417,0.198287,0.162578,3.570954,0.4541,0.4215,0.4372,0.6425,0.5964,0.6186,0.7536,0.6996,0.7256,223,207,0.4943,0.2,0.0,0.000201
121,0.000293,0.000106,0.018705,0.204446,0.168641,3.580521,0.4641,0.4350,0.4491,0.6411,0.6009,0.6204,0.7512,0.7040,0.7269,223,209,0.4943,0.2,0.0,0.000200
122,0.000266,0.000088,0.017796,0.209664,0.172907,3.675725,0.4857,0.4574,0.4711,0.6619,0.6233,0.6420,0.7619,0.7175,0.7390,223,210,0.4943,0.2,0.0,0.000198
123,0.000242,0.000080,0.016197,0.211015,0.174754,3.626096,0.4880,0.4574,0.4722,0.6699,0.6278,0.6481,0.7608,0.7130,0.7361,223,209,0.4943,0.2,0.0,0.000197
124,0.000215,0.000070,0.014447,0.213972,0.177380,3.659202,0.4906,0.4664,0.4782,0.6698,0.6368,0.6529,0.7594,0.7220,0.7402,223,212,0.4943,0.2,0.0,0.000195
125,0.000203,0.000065,0.013831,0.221065,0.184234,3.683138,0.4856,0.4529,0.4687,0.6731,0.6278,0.6497,0.7548,0.7040,0.7285,223,208,0.4943,0.2,0.0,0.000194
126,0.000201,0.000060,0.014132,0.226821,0.189809,3.701249,0.4732,0.4350,0.4533,0.6780,0.6233,0.6495,0.7707,0.7085,0.7383,223,205,0.4943,0.2,0.0,0.000193
127,0.000172,0.000053,0.011958,0.227608,0.190651,3.695768,0.4780,0.4395,0.4579,0.6780,0.6233,0.6495,0.7659,0.7040,0.7336,223,205,0.4943,0.2,0.0,0.000191
128,0.000159,0.000048,0.011171,0.233042,0.196163,3.687857,0.4976,0.4574,0.4766,0.6829,0.6278,0.6542,0.7659,0.7040,0.7336,223,205,0.4943,0.2,0.0,0.000190
129,0.000150,0.000044,0.010615,0.233296,0.195993,3.730283,0.4831,0.4484,0.4651,0.6763,0.6278,0.6512,0.7681,0.7130,0.7395,223,207,0.4943,0.2,0.0,0.000188
130,0.000144,0.000041,0.010339,0.235506,0.198412,3.709395,0.4976,0.4574,0.4766,0.6878,0.6323,0.6589,0.7707,0.7085,0.7383,223,205,0.4943,0.2,0.0,0.000187
131,0.000138,0.000039,0.009922,0.237648,0.200213,3.743538,0.4952,0.4619,0.4780,0.6635,0.6188,0.6404,0.7500,0.6996,0.7239,223,208,0.4943,0.2,0.0,0.000185
132,0.000129,0.000036,0.009329,0.239092,0.201906,3.718557,0.5024,0.4619,0.4813,0.6829,0.6278,0.6542,0.7659,0.7040,0.7336,223,205,0.4943,0.2,0.0,0.000184
133,0.000124,0.000034,0.009033,0.245105,0.207560,3.754473,0.4976,0.4574,0.4766,0.6878,0.6323,0.6589,0.7707,0.7085,0.7383,223,205,0.4943,0.2,0.0,0.000182
134,0.000117,0.000032,0.008541,0.246262,0.209029,3.723246,0.5074,0.4619,0.4836,0.6946,0.6323,0.6620,0.7635,0.6951,0.7277,223,203,0.4943,0.2,0.0,0.000181
135,0.000117,0.000031,0.008597,0.247816,0.210053,3.776272,0.4976,0.4574,0.4766,0.6976,0.6413,0.6682,0.7756,0.7130,0.7430,223,205,0.4943,0.2,0.0,0.000179
